tour,player,elo,matches,last_date
WTA,Sapfo Sakellaridi,1682.85,634,2026-04-27
ATP,Filip Cristian Jianu,1677.72,490,2026-06-01
ATP,Nicholas David Ionel,1642.87,463,2026-03-09
ATP,Andrey Chepelev,1585.11,454,2026-05-12
WTA,Katarina Kuzmova,1830.31,452,2026-06-01
ATP,Robin Bertrand,1616.34,446,2026-06-01
WTA,Sandra Samir,1747.16,442,2026-05-18
ATP,Dan Added,1697.06,440,2026-05-11
WTA,Carole Monnet,1834.57,433,2026-04-13
ATP,Marek Gengel,1732.7,432,2026-06-01
ATP,Nikolas Sanchez Izquierdo,1856.44,431,2026-06-01
ATP,Aziz Dougaz,1679.12,424,2026-05-11
ATP,Denis Yevseyev,1650.16,423,2026-05-25
WTA,Justina Mikulskyte,1787.72,422,2026-01-19
ATP,Matthew Dellavedova,1533.87,419,2026-04-27
ATP,Ivan Gakhov,1680.47,416,2026-04-27
ATP,Carlos Sanchez Jover,1680.41,416,2026-05-25
ATP,Oliver Crawford,1707.66,415,2026-04-20
ATP,Michael Geerts,1690.4,415,2026-05-04
ATP,Zdenek Kolar,1774.33,414,2026-06-01
ATP,Lorenzo Giustino,1731.71,413,2026-06-01
ATP,Billy Harris,1737.53,410,2026-06-01
WTA,Carlota Martinez Cirez,1723.41,410,2026-04-06
ATP,Santiago Fa Rodriguez Taverna,1602.96,410,2026-05-25
ATP,Matteo Martineau,1686.49,408,2026-06-01
ATP,Gauthier Onclin,1803.36,402,2026-06-01
ATP,Moez Echargui,1696.05,402,2026-06-01
ATP,Eric Vanshelboim,1545.9,401,2026-04-13
WTA,Leyre Romero Gormaz,1891.84,397,2026-04-21
WTA,Angela Fita Boluda,1901.88,396,2026-02-09
WTA,Alice Rame,1732.15,396,2026-03-03
ATP,Daniel Michalski,1708.2,396,2026-06-01
WTA,Carolina Alves,1689.22,394,2026-05-18
ATP,Gonzalo Villanueva,1688.81,394,2026-05-11
WTA,Yasmine Mansouri,1683.31,393,2026-04-13
ATP,Vladyslav Orlov,1521.74,393,2026-05-18
ATP,Cezar Cretu,1787.4,390,2026-06-01
ATP,Geoffrey Blancaneaux,1720.93,390,2026-05-12
WTA,Ekaterina Makarova,1717.75,388,2025-06-30
ATP,Jelle Sels,1582.89,388,2026-06-01
ATP,Remy Bertola,1780.36,387,2026-06-01
ATP,Pol Martin Tiffon,1840.9,386,2026-05-25
ATP,Daniel Dutra Da Silva,1620.37,386,2026-06-01
ATP,Oriol Roca Batalla,1775.86,385,2026-06-01
ATP,Alexander Weis,1583.27,384,2025-09-08
WTA,Maria Lourdes Carle,1825.42,382,2026-03-04
ATP,Yu Hsiou Hsu,1792.85,382,2026-06-01
ATP,Clement Tabur,1853.61,381,2026-05-12
WTA,Nuria Brancaccio,1830.18,381,2026-04-21
ATP,Dmitry Popko,1616.82,381,2026-04-20
ATP,Franco Agamenone,1801.51,380,2026-05-25
ATP,Christian Langmo,1651.94,380,2026-06-01
WTA,Stephanie Judith Visscher,1813.56,379,2026-05-18
ATP,Hugo Grenier,1780.67,379,2026-05-25
ATP,Raul Brancaccio,1742.08,379,2026-06-01
ATP,Robert Strombachs,1606.36,379,2026-06-01
WTA,Sinja Kraus,2064.36,378,2026-05-05
WTA,Darja Semenistaja,1957.69,378,2026-05-05
ATP,Oleksii Krutykh,1667.76,378,2026-04-27
ATP,Antoine Escoffier,1669.76,377,2026-04-28
ATP,Giovanni Fonio,1663.21,377,2026-04-28
ATP,Ergi Kirkin,1641.24,377,2026-05-18
ATP,Vitaliy Sachko,1806.43,376,2026-06-01
ATP,Alex Marti Pujolras,1617.41,376,2026-06-01
WTA,Ilay Yoruk,1500.09,376,2026-05-25
ATP,Kaichi Uchida,1632.19,374,2026-05-11
WTA,Anastasia Zolotareva,1924.59,373,2026-05-18
ATP,Henri Squire,1816.93,373,2026-06-01
ATP,Dane Sweeny,1730.3,373,2026-06-01
ATP,Filip Peliwo,1536.07,373,2026-06-01
ATP,Mats Rosenkranz,1754.12,372,2026-02-02
ATP,Thiago Agustin Tirante,1848.91,371,2026-01-27
ATP,Alexey Vatutin,1702.37,371,2025-11-24
ATP,Ryan Nijboer,1611.96,371,2026-04-27
ATP,Roman Andres Burruchaga,1948.82,370,2026-05-12
WTA,Dalila Jakupovic,1761.78,370,2026-05-04
ATP,Michael Vrbensky,1578.07,370,2026-06-01
ATP,Timofey Skatov,1828.09,369,2026-06-01
WTA,Lamis Alhussein Abdel Aziz,1822.35,369,2026-05-11
ATP,Duje Ajdukovic,1719.38,369,2026-05-11
WTA,Valeriya Strakhova,1623.64,369,2026-02-23
ATP,Sebastian Gima,1547.37,369,2026-04-27
ATP,Valentin Royer,1927.7,368,2026-06-01
ATP,Tomas Barrios Vera,1893.79,368,2026-05-11
ATP,Mathys Erhard,1696.21,368,2026-05-25
WTA,Viktoria Morvayova,1779.42,367,2026-01-26
ATP,Maxime Janvier,1646.36,367,2026-05-25
ATP,Rio Noguchi,1829.43,366,2026-05-04
WTA,Valentina Ryser,1845.15,365,2026-05-18
WTA,Despina Papamichail,1809.24,365,2026-04-21
ATP,Frederico Ferreira Silva,1761.45,365,2026-06-01
ATP,Aidan Mchugh,1594.17,365,2026-01-05
ATP,Juan Bautista Torres,1767.44,362,2026-05-11
ATP,Max Houkes,1751.13,361,2026-06-01
ATP,Jay Clarke,1722.23,361,2026-05-25
WTA,Marina Bassols Ribera,1858.43,360,2026-04-21
ATP,Calvin Hemery,1770.3,360,2026-06-01
WTA,Sofia Shapatava,1598.82,360,2026-02-24
ATP,Sasi Kumar Mukund,1564.75,360,2026-06-01
ATP,Shintaro Mochizuki,1734.03,359,2026-06-01
ATP,Murkel Alejandro Dellien Velasco,1678.5,359,2026-05-11
ATP,Emilio Nava,1951.95,358,2026-06-01
ATP,Lukas Neumayer,1913.14,358,2026-05-25
ATP,Andrea Collarini,1717.17,358,2026-05-11
WTA,Ylena In Albon,1641.32,358,2026-02-09
WTA,Hanna Chang,1875.08,357,2026-05-18
ATP,Jurij Rodionov,1829.15,357,2026-05-11
WTA,Gergana Topalova,1631.88,357,2026-05-04
WTA,Panna Udvardy,1916.03,355,2026-04-21
ATP,Tristan Schoolkate,1829.27,355,2026-06-01
WTA,Irene Burillo Escorihuela,1795.68,355,2026-03-30
WTA,Ekaterina Yashina,1588.49,354,2026-02-15
ATP,Constantin Bittoun Kouzmine,1485.33,354,2026-06-01
ATP,Titouan Droguet,1922.9,353,2026-05-12
ATP,Terence Atmane,1839.87,353,2026-05-12
ATP,Joao Lucas Reis Da Silva,1771.88,353,2026-06-01
ATP,Louis Wessels,1603.66,353,2026-03-16
ATP,Max Alcala Gurri,1794.49,352,2026-05-18
ATP,Sandro Kopp,1676.91,352,2026-05-25
ATP,Daniel Masur,1660.98,352,2026-06-01
ATP,Viktor Durasovic,1642.39,352,2026-06-01
WTA,Ana Sofia Sanchez,1781.44,351,2026-03-30
