tour,player,elo,peak_elo,matches,wins,losses,last_date
ATP,Sinner J.,2109.85,2151.78,187,172,15,
ATP,Alcaraz C.,2049.08,2084.53,159,136,23,
ATP,Zverev A.,1900.95,1900.95,209,157,52,
ATP,Djokovic N.,1869.79,1891.62,105,81,24,
ATP,Fils A.,1831.03,1831.66,127,83,44,
ATP,Fritz T.,1755.42,1815.21,172,119,53,
ATP,Jodar R.,1752.45,1752.45,47,34,13,
ATP,Shelton B.,1747.13,1854.62,174,114,60,
ATP,Tiafoe F.,1746.58,1750.03,151,90,61,
ATP,Auger-Aliassime F.,1738.07,1843.25,162,103,59,
ATP,Paul T.,1733.83,1779.57,149,103,46,
ATP,Medvedev D.,1730.17,1825.23,169,115,54,
ATP,Mensik J.,1719.06,1751.55,124,79,45,
ATP,Musetti L.,1716.46,1811.98,153,96,57,
ATP,Draper J.,1712.99,1841.98,109,75,34,
ATP,De Minaur A.,1702.1,1792.66,178,123,55,
ATP,Tien L.,1701.46,1759.73,99,60,39,
ATP,Cerundolo F.,1698.33,1743.24,158,92,66,
ATP,Lehecka J.,1693.19,1743.94,143,91,52,
ATP,Korda S.,1692.77,1717.39,107,64,43,
ATP,Ruud C.,1678.73,1761.13,153,101,52,
ATP,Rune H.,1672.08,1738.13,121,79,42,2025-10-18
ATP,Nakashima B.,1671.9,1682.62,151,83,68,
ATP,Rublev A.,1669.1,1703.25,169,103,66,
ATP,Fonseca J.,1667.46,1717.76,80,46,34,
ATP,Davidovich Fokina A.,1665.2,1703.63,146,83,63,
ATP,Tsitsipas S.,1660.57,1709.86,130,77,53,
ATP,Cobolli F.,1656.16,1683.01,156,89,67,
ATP,Etcheverry T.,1634.07,1657.04,147,73,74,
ATP,Bublik A.,1633.99,1802.2,147,87,60,
ATP,Blockx A.,1633.49,1639.47,31,16,15,
ATP,Machac T.,1621.89,1713.43,113,66,47,
ATP,Vacherot V.,1620.91,1697.42,44,25,19,
ATP,Merida Aguilar D.,1616.36,1619.87,24,16,8,
ATP,Michelsen A.,1616.31,1655.79,148,77,71,
ATP,Halys Q.,1614.13,1623.39,88,41,47,
ATP,Majchrzak K.,1611.8,1611.8,54,28,26,
ATP,Tirante T.A.,1609.47,1637.52,49,28,21,
ATP,Humbert U.,1607.08,1740.19,146,85,61,
ATP,Hanfmann Y.,1596.89,1638.22,99,49,50,
ATP,Marozsan F.,1594.73,1596.82,133,65,68,
ATP,Berrettini M.,1593.42,1692.96,101,60,41,
ATP,Norrie C.,1591.9,1687.58,131,71,60,
ATP,Darderi L.,1591.59,1682.83,154,83,71,
ATP,Buse I.,1590.3,1612.47,39,20,19,
ATP,Collignon R.,1587.28,1608.58,42,19,23,
ATP,Borges N.,1578.25,1619.77,146,75,71,
ATP,Nadal R.,1578.17,1596.95,17,11,6,2024-07-21
ATP,Bergs Z.,1578.17,1603.06,111,55,56,
ATP,Tabilo A.,1577.5,1641.03,122,63,59,
ATP,Molcan A.,1576.43,1591.95,18,11,7,
ATP,Hurkacz H.,1576.15,1709.46,99,60,39,
ATP,Munar J.,1573.93,1662.46,113,54,59,
ATP,Khachanov K.,1569.93,1740.43,148,85,63,
ATP,Van De Zandschulp B.,1569.54,1588.55,106,48,58,
ATP,Dimitrov G.,1564.48,1719.78,111,71,40,
ATP,Navone M.,1562.09,1606.84,117,54,63,
ATP,Rinderknech A.,1560.76,1688.89,126,60,66,
ATP,Fery A.,1558.68,1569.06,18,10,8,
ATP,Cilic M.,1558.13,1608.08,61,28,33,
